cab_id,entropy,total_records,unique_locations,most_frequent_location,location_diversity,entropy_quartile,segment
edgrat,10.915148888079592,22604,3894,37.792_-122.411,0.17227039462042115,Q4 (High),High Mobility (Explorer)
edjiye,10.986512678532383,27964,4800,37.752_-122.395,0.17164926333857816,Q4 (High),High Mobility (Explorer)
edlyxy,10.660348530743477,23393,3859,37.751_-122.395,0.16496387808318727,Q2,Medium Mobility
edmugrip,11.033577538514399,24127,4426,37.751_-122.395,0.18344593194346584,Q4 (High),High Mobility (Explorer)
ednillo,11.189977188069319,27176,4991,37.752_-122.395,0.18365469531939946,Q4 (High),High Mobility (Explorer)
edodblea,10.76062543552889,23252,3959,37.751_-122.395,0.17026492344744537,Q3,Medium Mobility
edomboys,9.897712244882078,4326,1826,37.752_-122.394,0.42209893666204346,Q1 (Low),Low Mobility (Routine)
edrafs,9.984920988373176,4530,1826,37.752_-122.395,0.4030905077262693,Q1 (Low),Low Mobility (Routine)
eedigkr,10.808714569259646,24733,4133,37.752_-122.395,0.16710467796061942,Q3,Medium Mobility
eefayb,10.592138486103945,19266,3458,37.785_-122.400,0.1794871794871795,Q2,Medium Mobility
eegcef,10.550279803790925,19419,3470,37.752_-122.394,0.17869097275863843,Q2,Medium Mobility
eemafbij,10.228413859630056,14795,3064,37.787_-122.409,0.20709699222710376,Q1 (Low),Low Mobility (Routine)
eenjoug,10.68659298032004,21881,3645,37.785_-122.400,0.16658288012430877,Q2,Medium Mobility
eersdo,11.019682475353754,25142,4358,37.759_-122.390,0.17333545461777106,Q4 (High),High Mobility (Explorer)
eesbaj,11.01060960842911,25064,4595,37.752_-122.395,0.18333067347590168,Q4 (High),High Mobility (Explorer)
efcati,10.823082871556618,21142,3996,37.787_-122.403,0.18900766247280296,Q3,High Mobility (Explorer)
effneomi,10.309826678777927,27871,3984,37.806_-122.418,0.14294427899967707,Q1 (Low),Low Mobility (Routine)
efghakdi,10.484155754804815,22234,3694,37.751_-122.395,0.1661419447692723,Q2,Low Mobility (Routine)
efgoaku,10.378854529244135,26097,3465,37.784_-122.409,0.13277388205540866,Q1 (Low),Low Mobility (Routine)
efmymo,10.141746432909706,3097,1537,37.751_-122.395,0.49628672909267035,Q1 (Low),Low Mobility (Routine)
efonve,10.553765895508802,29003,4331,37.737_-122.405,0.14932937971933938,Q2,Medium Mobility
efspheco,10.69119798767591,20603,4292,37.616_-122.386,0.20831917681890988,Q2,Medium Mobility
eggfrij,10.879440371619607,24378,4298,37.666_-122.408,0.1763065058659447,Q4 (High),High Mobility (Explorer)
eghanwib,10.748661331430771,20950,4167,37.752_-122.394,0.19890214797136038,Q3,Medium Mobility
eglohabs,10.429864463978959,20159,3751,37.751_-122.395,0.18607073763579543,Q1 (Low),Low Mobility (Routine)
egnatab,11.055750417911717,23934,4540,37.752_-122.394,0.18968830951784074,Q4 (High),High Mobility (Explorer)
egoiwroi,0.7822275393170954,185,2,37.751_-122.395,0.010810810810810811,Q1 (Low),Low Mobility (Routine)
egreosko,10.6025645058331,15485,3795,37.616_-122.386,0.24507587988375848,Q2,Medium Mobility
egteir,10.727231927038632,14274,3444,37.751_-122.393,0.24127784783522488,Q3,Medium Mobility
egwicjuv,10.723989674552596,13155,3504,37.616_-122.386,0.2663625997719498,Q3,Medium Mobility
eiboidne,10.59772419438864,25017,4445,37.579_-122.335,0.17767917815885198,Q2,Medium Mobility
eicmynts,9.861208495600245,10134,2553,37.702_-122.486,0.25192421551213734,Q1 (Low),Low Mobility (Routine)
eifvid,10.562345305354508,22628,4128,37.752_-122.395,0.18242884921336397,Q2,Medium Mobility
eincufpy,9.995618586197914,3920,1718,37.751_-122.395,0.43826530612244896,Q1 (Low),Low Mobility (Routine)
eitpem,9.580986856599221,11178,2791,37.752_-122.395,0.24968688495258543,Q1 (Low),Low Mobility (Routine)
ejcrur,10.19093743318479,20850,3813,37.751_-122.395,0.1828776978417266,Q1 (Low),Low Mobility (Routine)
ejesbay,9.406448281260353,21384,3486,37.752_-122.394,0.16301907968574636,Q1 (Low),Low Mobility (Routine)
ejkipub,10.386552759105625,22414,4174,37.718_-122.472,0.1862228964040332,Q1 (Low),Low Mobility (Routine)
ejnoax,10.405724733952479,16817,3594,37.796_-122.254,0.21371231491942677,Q1 (Low),Low Mobility (Routine)
ejshigib,10.88175532576146,29536,4432,37.752_-122.395,0.15005417118093176,Q4 (High),High Mobility (Explorer)
ejtobu,11.060891571441577,26104,4624,37.798_-122.408,0.17713760343242416,Q4 (High),High Mobility (Explorer)
ekenucki,10.782619855852579,26277,4328,37.751_-122.395,0.16470677779046314,Q3,Medium Mobility
ekfrab,9.92348213734304,19524,3659,37.792_-122.411,0.18741036672812947,Q1 (Low),Low Mobility (Routine)
ektamy,10.948561502803631,25346,4255,37.751_-122.395,0.16787658802177857,Q4 (High),High Mobility (Explorer)
ektuyo,10.196082648375528,19616,3544,37.752_-122.394,0.18066884176182707,Q1 (Low),Low Mobility (Routine)
ekyosjo,10.749270197361625,27442,4047,37.752_-122.394,0.14747467385759055,Q3,Medium Mobility
elaflevy,10.6972850059766,25895,3994,37.616_-122.386,0.15423826993628115,Q2,Medium Mobility
elbnaxa,11.153849041292146,27312,4819,37.752_-122.395,0.17644258933801993,Q4 (High),High Mobility (Explorer)
elfyea,10.700244980194409,23057,3796,37.751_-122.395,0.164635468621243,Q3,Medium Mobility
elhuyoi,8.814305431826455,5427,1701,37.751_-122.394,0.31343283582089554,Q1 (Low),Low Mobility (Routine)
ellimtbu,10.58139461787953,22466,4762,37.717_-122.397,0.21196474672838958,Q2,Medium Mobility
elswcky,10.909597195363776,22940,4004,37.752_-122.395,0.17454228421970358,Q4 (High),High Mobility (Explorer)
elvgid,5.766672105199011,8004,1471,37.752_-122.394,0.1837831084457771,Q1 (Low),Low Mobility (Routine)
elwesnn,10.432163339558048,21660,3794,37.752_-122.395,0.17516158818097877,Q1 (Low),Low Mobility (Routine)
